name,preset,seed,probe_json,split,heldout_source_group,n_samples,n_eval_samples,mask_kind,R2_Y0_from_Z,R2_Y0_from_cmd_mode,R2_Y0_gain_over_cmd_mode,R2_cmd_from_Z,R2_cmd_mlp_from_Z,R2_mode_from_Z,R2_mode_mlp_from_Z,R2_phase_from_Z,R2_phase_mlp_from_Z,R2_Y0_from_Zres,R2_Y0res_retention,R2_Z_from_cmd_mode_linear,R2_cmd_from_Zres,R2_cmd_mlp_from_Zres,R2_mode_from_Zres,R2_mode_mlp_from_Zres,R2_phase_from_Zres,R2_phase_mlp_from_Zres,shift_ratio,effective_rank,effective_rank_Zres,shortcut_delta_ratio,rho_G_spearman,rho_G_cond_cmd_spearman,rho_G_Zres_cond_cmd_spearman,R2_Yphi_from_Z_phi,R2_Yphi_gain_over_phi,phase_shift_ratio,phase_shift_same_parent_dist,phase_shift_same_bucket_dist,phase_shift_n_parent_groups,OOD_drop_R2_Y0,OOD_drop_rho_G,OOD_drop_rho_G_cond
C1_stats_tcn_50_s0,E4_full,0,logs/frnc_style_v43_plan_20260510_234247/confirm50_v1/C1_stats_tcn_50_s0/probe.json,all_source_heldout,mean,71438,71438,M0_conservative,0.672888642330782,,0.482364470668889,0.7373722443977992,,0.5667143762111664,,0.07773494720458984,0.024376235902309418,0.3337085066585366,0.49486557057549807,,-0.00027473767598470056,0.5921034216880798,-0.001130451758702596,0.8830381482839584,0.04551141709089279,-0.039788685739040375,0.1801411658525467,10.848962783813477,12.930890798568726,,0.6213042862136112,0.6675319556852921,0.6685326998050813,0.3336737323098066,0.33879604245104444,,,,,0.053101127289151506,-0.00974439654369097,0.013189877467183253
C1_stats_tcn_50_s1,E4_full,1,logs/frnc_style_v43_plan_20260510_234247/confirm50_v1/C1_stats_tcn_50_s1/probe.json,all_source_heldout,mean,71438,71438,M0_conservative,0.6694059094431204,,0.47861017054374067,0.7268743664026259,,0.5387657582759857,,0.07623852044343948,0.011278323829174042,0.32739338142062546,0.48699279828770864,,-0.00027561684449513757,0.5655995458364487,-0.0011301239331563313,0.8960548043251038,0.04022475332021713,-0.006498709321022034,0.18033960461616516,10.61388373374939,13.0162672996521,,0.6221550947020231,0.6726206813180984,0.6726767258097328,0.3326330835499415,0.3371385826570232,,,,,0.054011028921024606,0.005514370082160824,0.008120219568034548
C1_stats_tcn_50_s2,E4_full,2,logs/frnc_style_v43_plan_20260510_234247/confirm50_v1/C1_stats_tcn_50_s2/probe.json,all_source_heldout,mean,71438,71438,M0_conservative,0.6757263595904779,,0.4848512363269788,0.7381611714760462,,0.5481961270173391,,0.07679486274719238,0.0559786856174469,0.3363531140285895,0.4963867995408747,,-0.0002689858277638753,0.5543281510472298,-0.0011329253514607747,0.8735793232917786,0.03484328091144562,-0.026044689118862152,0.18029261752963066,10.524917125701904,12.492609739303589,,0.612414453363642,0.642133357523356,0.6499730374623809,0.3346874848371599,0.33903037157000565,,,,,0.050883138192690636,-0.01711017558816419,0.011586873415377674
C2_stats_tcn_dual_50_s0,E4_full,0,logs/frnc_style_v43_plan_20260510_234247/confirm50_v1/C2_stats_tcn_dual_50_s0/probe.json,all_source_heldout,mean,71438,71438,M0_conservative,0.6730703830445578,,0.482906639986082,0.715535561243693,,0.5530109753211339,,0.06183923780918121,-0.008890621364116669,0.33448154116989276,0.49544084875526184,,-0.00027081867059071857,0.5508183911442757,-0.001131941874821981,0.8715366423130035,0.031966470181941986,-0.04590906947851181,0.1770641915500164,10.175315141677856,11.576258420944214,,0.6259186559547264,0.6516592052004309,0.6498516893454166,0.32502624210787984,0.3301485522491176,,,,,0.05440004961059053,-0.004272865487180644,0.02567665438689226
C2_stats_tcn_dual_50_s1,E4_full,1,logs/frnc_style_v43_plan_20260510_234247/confirm50_v1/C2_stats_tcn_dual_50_s1/probe.json,all_source_heldout,mean,71438,71438,M0_conservative,0.6726938397239108,,0.4826907716486432,0.7033264140288036,,0.5785101304451624,,0.06093991547822952,-0.009132571518421173,0.3351496829899079,0.4970470086292832,,-0.0002768486738204956,0.6067852824926376,-0.0011375049750010173,0.9258620142936707,0.032443396747112274,-0.04412928968667984,0.17846186086535454,10.489828824996948,12.329336881637573,,0.6310697065492403,0.6696756381783563,0.6690392384622474,0.32366840686739945,0.32817390597448115,,,,,0.053032006945629595,0.005555481434879717,0.015372632306715706
C2_stats_tcn_dual_50_s2,E4_full,2,logs/frnc_style_v43_plan_20260510_234247/confirm50_v1/C2_stats_tcn_dual_50_s2/probe.json,all_source_heldout,mean,71438,71438,M0_conservative,0.6715084731305411,,0.4808784687737806,0.7253030637900034,,0.5501614759365717,,0.05583161860704422,-0.009398505091667175,0.334099288517182,0.4961838211907791,,-0.0002709031105041504,0.6203561872243881,-0.0011300146579742432,0.9140812456607819,0.020291008055210114,-0.024299681186676025,0.1754591502249241,10.161251068115234,12.24642276763916,,0.6208710140524722,0.6624664073731042,0.6691246241876485,0.325671821105771,0.33001470783861675,,,,,0.0543535545883127,-0.024311676174146202,-0.0007555462780217681
