name,preset,seed,probe_json,R2_Y0_from_Zres,R2_Y0res_retention,R2_Z_from_cmd_mode_linear,R2_cmd_from_Zres,R2_cmd_mlp_from_Zres,R2_mode_from_Zres,R2_mode_mlp_from_Zres,R2_phase_from_Zres,R2_phase_mlp_from_Zres,effective_rank_Zres,rho_G_Zres_cond_cmd_spearman
G1_stats_rank015,E4_full,0,logs/frnc_style_v43_plan_20260510_234247/grid20_v1/G1_stats_rank015/probe.json,0.3074696870571977,0.4751864371872252,,-0.00027260680993398034,,-0.0011299649874369304,,0.04192043095827103,,11.342836618423462,0.6548366685757216
G2_stats_adv015,E4_full,0,logs/frnc_style_v43_plan_20260510_234247/grid20_v1/G2_stats_adv015/probe.json,0.3096945581086185,0.47823300906201527,,-0.0002720057964324951,,-0.0011298159758249917,,0.034413836896419525,,11.979160785675049,0.7187312213347239
G3_stats_alt3,E4_full,0,logs/frnc_style_v43_plan_20260510_234247/grid20_v1/G3_stats_alt3/probe.json,0.3104845192454277,0.4795901542767844,,-0.0002716630697250366,,-0.0011302332083384197,,0.046797752380371094,,12.311758041381836,0.7195207114373167
G4_stats_kin_metric,E4_full,0,logs/frnc_style_v43_plan_20260510_234247/grid20_v1/G4_stats_kin_metric/probe.json,0.29915277413818814,0.4688812556979365,,-0.0002743999163309733,,-0.001129994789759318,,0.05984391272068024,,11.836466073989868,0.690538065729897
G5_stats_no_action_metric,E4_full,0,logs/frnc_style_v43_plan_20260510_234247/grid20_v1/G5_stats_no_action_metric/probe.json,0.2991538023183105,0.4688826423202994,,-0.0002727011839548747,,-0.001129905382792155,,0.05983614921569824,,11.83655858039856,0.6905357595288868
G6_stats_phiK3_dec256,E4_full,0,logs/frnc_style_v43_plan_20260510_234247/grid20_v1/G6_stats_phiK3_dec256/probe.json,0.3098176371887189,0.4800125433997586,,-0.0002719312906265259,,-0.001129974921544393,,0.038014329969882965,,12.270925998687744,0.7178397338414114
G7_stats_yphi025,E4_full,0,logs/frnc_style_v43_plan_20260510_234247/grid20_v1/G7_stats_yphi025/probe.json,0.30355840265204054,0.4724275487775246,,-0.00027407705783843994,,-0.0011307895183563232,,0.04716135561466217,,11.18374490737915,0.7213969676161998
G8_stats_dual_aux16,E4_full,0,logs/frnc_style_v43_plan_20260510_234247/grid20_v1/G8_stats_dual_aux16/probe.json,0.3090845852270039,0.47900779849796493,,-0.0002783040205637614,,-0.0011309583981831868,,0.04217246174812317,,11.556623458862305,0.7204200560428674
